BSN,Portfoy,Tahsilat,Tarih
BSN0580010,BANK2P2,150.00,1/16/2014
BSN0572045,BANK2P2,584.70,8/26/2013
BSN0149053,BANK2P2,473.72,9/16/2013
BSN0565539,BANK2P2,57.58,3/5/2013
BSN0568991,BANK2P2,190.89,11/8/2013
BSN0565645,BANK2P2,186.90,4/17/2013
BSN0565403,BANK2P2,187.21,9/25/2013
BSN0581757,BANK2P2,100.00,12/20/2013
BSN0584060,BANK2P2,314.10,11/21/2013
BSN0579470,BANK2P2,38.98,2/10/2014
BSN0582993,BANK2P2,100.00,7/25/2012
BSN0396533,BANK2P2,22.89,10/3/2012
BSN0579267,BANK2P2,110.00,3/27/2013
BSN0311018,BANK2P2,11.67,10/25/2013
BSN0566581,BANK2P2,250.00,6/25/2013
BSN0517689,BANK2P2,125.02,3/25/2013
BSN0530672,BANK2P2,1671.23,10/4/2013
BSN0567680,BANK2P2,156.41,12/9/2013
BSN0582787,BANK2P2,468.00,11/21/2013
BSN0566153,BANK2P2,385.60,6/13/2012
BSN0575336,BANK2P2,1000.00,7/31/2012
BSN0577674,BANK2P2,201.67,7/4/2013
BSN0565684,BANK2P2,78.65,1/28/2014
BSN0255449,BANK2P2,100.00,5/20/2013
BSN0580302,BANK2P2,221.80,12/25/2013
BSN0575063,BANK2P2,200.00,11/28/2013
BSN0566698,BANK2P2,46.97,1/7/2013
BSN0565463,BANK2P2,700.90,4/30/2013
BSN0531902,BANK2P2,67.32,2/25/2013
BSN0566239,BANK2P2,2045.00,9/17/2013
BSN0309954,BANK2P2,117.82,4/1/2013
BSN0566392,BANK2P2,257.00,5/23/2013
BSN0578020,BANK2P2,680.00,9/27/2012
BSN0514158,BANK2P2,67.28,10/31/2012
BSN0568527,BANK2P2,50.00,9/27/2013
BSN0571188,BANK2P2,135.00,12/25/2012
BSN0571778,BANK2P2,331.28,9/11/2012
BSN0571456,BANK2P2,771.42,12/16/2013
BSN0570227,BANK2P2,121.71,9/7/2012
BSN0576902,BANK2P2,250.00,1/14/2013
BSN0261253,BANK2P2,11995.04,12/26/2013
BSN0566574,BANK2P2,400.00,4/8/2013
BSN0126533,BANK2P2,82.23,5/3/2013
BSN0575790,BANK2P2,100.00,4/8/2013
BSN0567778,BANK2P2,133.53,12/9/2013
BSN0568133,BANK2P2,258.61,11/22/2013
BSN0565411,BANK2P2,15.65,12/18/2013
BSN0568046,BANK2P2,8.99,10/30/2012
BSN0567646,BANK2P2,1500.00,7/16/2012
BSN0578820,BANK2P2,200.00,10/22/2012
BSN0565308,BANK2P2,184.00,7/22/2013
BSN0568300,BANK2P2,348.24,11/21/2013
BSN0565374,BANK2P2,226.60,6/3/2013
BSN0567902,BANK2P2,332.73,9/24/2013
BSN0565421,BANK2P2,150.00,2/4/2013
BSN0582626,BANK2P2,100.00,12/14/2012
BSN0568978,BANK2P2,273.54,1/23/2013
BSN0572792,BANK2P2,175.00,11/21/2013
BSN0276591,BANK2P2,59.00,6/7/2013
BSN0571186,BANK2P2,900.00,10/8/2012
BSN0571751,BANK2P2,87.00,12/5/2012
BSN0565333,BANK2P2,71.27,6/5/2013
BSN0566083,BANK2P2,151.80,11/20/2012
BSN0573306,BANK2P2,287.29,8/29/2013
BSN0576392,BANK2P2,200.00,3/28/2013
BSN0573521,BANK2P2,250.00,1/24/2013
BSN0567283,BANK2P2,35.15,4/19/2013
BSN0568300,BANK2P2,25.56,11/21/2013
BSN0583297,BANK2P2,250.00,2/11/2014
BSN0135526,BANK2P2,1500.00,9/10/2012
BSN0567172,BANK2P2,432.79,4/24/2013
BSN0567352,BANK2P2,250.00,10/10/2012
BSN0578373,BANK2P2,85.00,10/30/2013
BSN0569663,BANK2P2,688.23,3/27/2013
BSN0566257,BANK2P2,819.15,3/19/2013
BSN0566765,BANK2P2,3100.00,12/13/2012
BSN0566083,BANK2P2,650.00,8/17/2012
BSN0574365,BANK2P2,100.00,9/25/2012
BSN0570850,BANK2P2,29.70,9/26/2012
BSN0567827,BANK2P2,8.03,11/19/2013
BSN0567820,BANK2P2,504.84,5/31/2013
BSN0574862,BANK2P2,101.00,1/21/2013
BSN0569536,BANK2P2,140.00,7/11/2013
BSN0572593,BANK2P2,300.00,2/18/2013
BSN0575014,BANK2P2,900.00,12/6/2013
BSN0566863,BANK2P2,822.90,11/28/2012
BSN0050106,BANK2P2,133.51,9/27/2012
BSN0567804,BANK2P2,3468.43,10/4/2012
BSN0583456,BANK2P2,1000.00,7/22/2013
BSN0571129,BANK2P2,770.00,4/25/2013
BSN0567175,BANK2P2,320.82,2/19/2014
BSN0570787,BANK2P2,186.90,9/9/2013
BSN0567659,BANK2P2,169.56,4/18/2013
BSN0566460,BANK2P2,69.27,2/6/2014
BSN0572211,BANK2P2,800.00,12/28/2012
BSN0566037,BANK2P2,760.59,9/5/2013
BSN0481800,BANK2P2,132.64,11/27/2013
BSN0567786,BANK2P2,398.27,5/23/2013
BSN0568071,BANK2P2,80.00,10/28/2013
BSN0268371,BANK2P2,115.61,2/19/2014
BSN0583312,BANK2P2,627.80,9/24/2012
BSN0570754,BANK2P2,182.33,7/9/2013
BSN0565943,BANK2P2,73.76,1/28/2013
BSN0568289,BANK2P2,200.00,8/21/2013
BSN0566024,BANK2P2,312.38,8/27/2012
BSN0577882,BANK2P2,1000.00,9/3/2013
BSN0565390,BANK2P2,585.00,7/25/2012
BSN0565431,BANK2P2,107.74,2/11/2013
BSN0415830,BANK2P2,638.54,11/25/2013
BSN0567901,BANK2P2,5.50,11/26/2013
BSN0567830,BANK2P2,282.67,12/21/2012
BSN0573524,BANK2P2,100.00,12/10/2012
BSN0567873,BANK2P2,5000.00,6/13/2012
BSN0463807,BANK2P2,100.00,1/7/2013
BSN0566740,BANK2P2,80.60,4/19/2013
BSN0570376,BANK2P2,523.40,7/23/2013
BSN0565568,BANK2P2,146.31,10/22/2013
BSN0567658,BANK2P2,231.63,7/23/2013
BSN0565543,BANK2P2,373.80,3/15/2013
BSN0566596,BANK2P2,2944.03,10/31/2012
BSN0566091,BANK2P2,387.22,7/24/2012
BSN0578034,BANK2P2,178.50,6/13/2012
BSN0569228,BANK2P2,159.72,7/5/2013
BSN0571503,BANK2P2,664.16,9/25/2013
BSN0577020,BANK2P2,200.00,11/22/2012
BSN0567216,BANK2P2,209.00,11/23/2012
BSN0583662,BANK2P2,9000.00,9/2/2013
BSN0574462,BANK2P2,230.00,7/31/2012
BSN0571285,BANK2P2,745.60,9/26/2012
BSN0293649,BANK2P2,9.03,12/24/2012
BSN0566926,BANK2P2,163.85,7/17/2013
BSN0567579,BANK2P2,35.68,12/27/2012
BSN0565567,BANK2P2,282.91,7/23/2012
BSN0475472,BANK2P2,555.20,10/28/2013
BSN0576985,BANK2P2,100.00,2/5/2013
BSN0578976,BANK2P2,229.00,11/20/2013
BSN0565624,BANK2P2,1147.40,6/13/2012
BSN0568406,BANK2P2,200.00,2/27/2013
BSN0570830,BANK2P2,300.00,10/23/2012
BSN0571820,BANK2P2,277.50,4/29/2013
BSN0566708,BANK2P2,322.54,5/17/2013
BSN0568276,BANK2P2,1278.70,11/29/2013
BSN0537923,BANK2P2,690.36,5/30/2013
BSN0311979,BANK2P2,248.00,2/12/2013
BSN0568236,BANK2P2,235.14,9/11/2013
BSN0578116,BANK2P2,78.38,2/15/2013
BSN0567439,BANK2P2,21.72,1/3/2014
BSN0567939,BANK2P2,158.48,10/8/2012
BSN0573428,BANK2P2,400.00,7/30/2012
BSN0572242,BANK2P2,87.06,9/18/2013
BSN0476193,BANK2P2,85.57,11/26/2013
BSN0577641,BANK2P2,367.00,3/29/2013
BSN0572900,BANK2P2,81.75,7/24/2012
BSN0570587,BANK2P2,70.00,3/27/2013
BSN0565403,BANK2P2,272.89,2/20/2014
BSN0517689,BANK2P2,125.39,3/25/2013
BSN0573751,BANK2P2,7.21,2/25/2014
BSN0473649,BANK2P2,3000.00,6/13/2012
BSN0568691,BANK2P2,500.00,5/15/2013
BSN0579802,BANK2P2,500.00,9/25/2012
BSN0578468,BANK2P2,6600.00,7/18/2013
BSN0583747,BANK2P2,75.00,10/16/2012
BSN0567964,BANK2P2,100.00,9/17/2012
BSN0569973,BANK2P2,1895.67,6/28/2013
BSN0487451,BANK2P2,478.01,10/15/2012
BSN0577759,BANK2P2,300.00,7/31/2012
BSN0580917,BANK2P2,270.00,7/25/2013
BSN0567999,BANK2P2,49.24,10/30/2013
BSN0565813,BANK2P2,22.49,10/25/2013
BSN0566024,BANK2P2,3862.25,7/30/2013
BSN0565852,BANK2P2,164.76,2/10/2014
BSN0571099,BANK2P2,232.46,8/29/2012
BSN0580033,BANK2P2,36.00,8/23/2013
BSN0567640,BANK2P2,1200.00,10/10/2013
BSN0565366,BANK2P2,470.20,6/13/2012
BSN0566092,BANK2P2,412.34,3/5/2013
BSN0578008,BANK2P2,42.24,11/25/2013
BSN0574600,BANK2P2,256.80,8/16/2012
BSN0565667,BANK2P2,209.75,10/2/2013
BSN0579127,BANK2P2,50.00,3/22/2013
BSN0570551,BANK2P2,48.64,5/15/2013
BSN0579305,BANK2P2,370.00,4/12/2013
BSN0576674,BANK2P2,125.00,4/19/2013
BSN0565477,BANK2P2,143.07,8/31/2012
BSN0112637,BANK2P2,72.52,6/4/2013
BSN0567060,BANK2P2,448.94,2/8/2013
BSN0565620,BANK2P2,233.70,6/4/2013
BSN0568535,BANK2P2,16000.00,6/10/2013
BSN0565762,BANK2P2,72.11,8/29/2012
BSN0568497,BANK2P2,15.23,2/20/2013
BSN0567737,BANK2P2,180.58,2/15/2013
BSN0579854,BANK2P2,345.00,7/23/2012
BSN0565411,BANK2P2,323.14,3/20/2013
BSN0565752,BANK2P2,273.86,12/11/2013
BSN0576606,BANK2P2,350.00,3/8/2013
BSN0579235,BANK2P2,800.00,7/26/2012
BSN0582787,BANK2P2,1061.00,1/23/2014
BSN0574396,BANK2P2,56.11,11/20/2013
BSN0523866,BANK2P2,5.50,3/12/2013
BSN0566542,BANK2P2,3.91,10/23/2013
BSN0290921,BANK2P2,3906.52,8/29/2012
BSN0567265,BANK2P2,3493.41,9/12/2013
BSN0575153,BANK2P2,171.38,12/26/2012
BSN0567991,BANK2P2,1455.85,2/12/2013
BSN0575982,BANK2P2,150.00,10/31/2013
BSN0576434,BANK2P2,100.00,5/31/2013
BSN0565402,BANK2P2,42.42,12/25/2012
BSN0573611,BANK2P2,30.00,10/7/2013
BSN0566020,BANK2P2,335.69,9/30/2013
BSN0565868,BANK2P2,395.86,6/13/2012
BSN0572504,BANK2P2,1000.00,8/2/2012
BSN0574572,BANK2P2,71.53,5/23/2013
BSN0565798,BANK2P2,725.42,3/25/2013
BSN0571273,BANK2P2,650.00,11/9/2012
BSN0583070,BANK2P2,1000.00,4/26/2013
BSN0567593,BANK2P2,250.00,2/24/2014
BSN0570678,BANK2P2,800.00,3/13/2013
BSN0567748,BANK2P2,500.00,6/20/2013
BSN0567867,BANK2P2,200.00,10/7/2013
BSN0566385,BANK2P2,260.00,12/26/2012
BSN0567915,BANK2P2,439.38,10/2/2012
BSN0568386,BANK2P2,159.35,12/23/2013
BSN0565392,BANK2P2,611.85,5/28/2013
BSN0566362,BANK2P2,32.18,7/10/2013
BSN0315508,BANK2P2,14.00,8/10/2012
BSN0575832,BANK2P2,855.10,8/2/2013
BSN0570814,BANK2P2,700.00,9/19/2013
BSN0566538,BANK2P2,178.35,2/13/2013
BSN0330257,BANK2P2,227.66,10/25/2013
BSN0568148,BANK2P2,250.00,3/25/2013
BSN0573751,BANK2P2,8.44,1/31/2013
BSN0567283,BANK2P2,30.47,5/22/2013
BSN0579299,BANK2P2,1250.00,4/29/2013
BSN0566227,BANK2P2,511.45,11/25/2013
BSN0572558,BANK2P2,5300.00,7/18/2012
BSN0571161,BANK2P2,200.00,2/7/2013
BSN0579526,BANK2P2,706.00,6/13/2012
BSN0570937,BANK2P2,280.00,6/27/2012
BSN0572553,BANK2P2,63.44,1/24/2014
BSN0496134,BANK2P2,78.64,8/15/2013
BSN0570162,BANK2P2,5500.00,10/28/2013
BSN0576461,BANK2P2,700.00,1/4/2013
BSN0566424,BANK2P2,114.17,1/17/2014
BSN0568936,BANK2P2,1000.00,9/18/2013
BSN0566172,BANK2P2,272.88,12/23/2013
BSN0581171,BANK2P2,280.00,3/20/2013
BSN0565953,BANK2P2,241.96,6/13/2012
BSN0566424,BANK2P2,160.07,12/25/2012
BSN0568386,BANK2P2,144.95,7/10/2013
BSN0018425,BANK2P2,225.78,8/16/2013
BSN0544903,BANK2P2,148.14,2/20/2013
BSN0568014,BANK2P2,323.94,12/27/2012
BSN0493265,BANK2P2,56.49,2/18/2013
BSN0583546,BANK2P2,100.00,4/5/2013
BSN0565806,BANK2P2,64.65,1/23/2013
BSN0567749,BANK2P2,13.42,1/22/2014
BSN0568044,BANK2P2,204.03,9/24/2013
BSN0578538,BANK2P2,57.00,10/23/2012
BSN0567703,BANK2P2,940.40,11/29/2012
BSN0567895,BANK2P2,100.00,4/11/2013
BSN0574037,BANK2P2,38.75,4/8/2013
BSN0580793,BANK2P2,250.00,5/15/2013
BSN0570204,BANK2P2,400.00,7/15/2013
BSN0566702,BANK2P2,72.53,11/18/2013
BSN0566644,BANK2P2,183.90,5/17/2013
BSN0578900,BANK2P2,600.00,12/31/2012
BSN0566301,BANK2P2,104.12,5/24/2013
BSN0566804,BANK2P2,338.18,9/4/2013
BSN0581801,BANK2P2,200.00,4/8/2013
BSN0566034,BANK2P2,2504.51,12/30/2013
BSN0567873,BANK2P2,3000.00,2/8/2013
BSN0577779,BANK2P2,850.00,7/6/2012
BSN0566610,BANK2P2,146.44,6/10/2013
BSN0567579,BANK2P2,352.42,10/4/2012
BSN0576927,BANK2P2,400.00,11/20/2012
BSN0577218,BANK2P2,249.51,8/10/2012
BSN0303800,BANK2P2,45.87,8/19/2013
BSN0566100,BANK2P2,12500.00,8/26/2013
BSN0402945,BANK2P2,46.34,7/15/2013
BSN0574977,BANK2P2,150.00,5/27/2013
BSN0565534,BANK2P2,200.00,12/4/2012
BSN0567501,BANK2P2,624.27,5/20/2013
BSN0575183,BANK2P2,90.00,9/20/2013
BSN0568124,BANK2P2,200.00,9/19/2012
BSN0569356,BANK2P2,9.30,6/13/2012
BSN0566864,BANK2P2,152.11,12/16/2013
BSN0566377,BANK2P2,500.00,12/21/2012
BSN0567227,BANK2P2,47.50,5/31/2013
BSN0125912,BANK2P2,691.25,10/11/2013
BSN0567219,BANK2P2,250.00,8/31/2012
BSN0566679,BANK2P2,467.30,2/25/2014
BSN0573004,BANK2P2,300.00,9/10/2012
BSN0566017,BANK2P2,233.70,7/26/2013
BSN0572208,BANK2P2,56.70,2/12/2014
BSN0581283,BANK2P2,50.00,7/31/2013
BSN0568977,BANK2P2,500.00,5/30/2013
BSN0566143,BANK2P2,48.98,10/30/2013
BSN0568424,BANK2P2,49.78,2/18/2013
BSN0575868,BANK2P2,1750.00,12/31/2012
BSN0574397,BANK2P2,207.00,2/25/2013
BSN0565652,BANK2P2,350.00,11/28/2012
BSN0569464,BANK2P2,27.22,6/19/2013
BSN0576401,BANK2P2,2700.00,7/6/2012
BSN0577269,BANK2P2,200.00,9/4/2013
BSN0565439,BANK2P2,107.92,2/20/2013
BSN0568100,BANK2P2,10.41,2/6/2014
BSN0568112,BANK2P2,99.72,4/15/2013
BSN0565477,BANK2P2,138.72,11/23/2012
BSN0567825,BANK2P2,8000.00,8/29/2013
BSN0190007,BANK2P2,13.03,5/9/2013
BSN0567236,BANK2P2,700.00,7/23/2012
BSN0565445,BANK2P2,5.69,11/8/2012
BSN0478255,BANK2P2,79.15,2/20/2014
BSN0567642,BANK2P2,500.00,2/27/2013
BSN0565451,BANK2P2,54.45,10/15/2012
BSN0477469,BANK2P2,6013.83,7/25/2013
BSN0571599,BANK2P2,327.38,12/24/2012
BSN0566184,BANK2P2,566.84,7/27/2012
BSN0568502,BANK2P2,604.58,8/19/2013
BSN0565620,BANK2P2,235.10,12/31/2012
BSN0566644,BANK2P2,48.90,2/21/2013
BSN0460522,BANK2P2,156.67,5/17/2013
BSN0566098,BANK2P2,450.00,9/24/2013
BSN0582590,BANK2P2,200.00,6/25/2013
BSN0566026,BANK2P2,246.87,8/2/2013
BSN0566083,BANK2P2,151.80,11/7/2013
BSN0544903,BANK2P2,148.14,12/19/2012
BSN0566538,BANK2P2,186.95,1/4/2013
BSN0248586,BANK2P2,47.05,11/4/2013
BSN0569798,BANK2P2,23.76,3/22/2013
BSN0583511,BANK2P2,50.00,5/22/2013
BSN0568171,BANK2P2,1000.00,2/27/2013
BSN0580872,BANK2P2,600.00,12/21/2012
BSN0550519,BANK2P2,317.76,11/30/2012
BSN0568026,BANK2P2,305.18,4/5/2013
BSN0566865,BANK2P2,6350.00,9/27/2012
BSN0579048,BANK2P2,100.00,7/24/2012
BSN0581713,BANK2P2,100.00,4/10/2013
BSN0500347,BANK2P2,100.00,7/1/2013
BSN0566787,BANK2P2,470.20,6/13/2012
BSN0568239,BANK2P2,319.53,2/19/2013
BSN0572403,BANK2P2,150.00,11/26/2013
BSN0571778,BANK2P2,1000.00,6/13/2012
BSN0534066,BANK2P2,147.09,11/28/2012
BSN0579006,BANK2P2,80.00,5/15/2013
BSN0570304,BANK2P2,4.49,12/11/2012
BSN0573173,BANK2P2,350.00,2/11/2013
BSN0580348,BANK2P2,2100.00,2/11/2013
BSN0575715,BANK2P2,286.90,6/13/2012
BSN0566647,BANK2P2,27.28,8/19/2013
BSN0566432,BANK2P2,11.05,11/26/2013
BSN0576812,BANK2P2,133.00,11/8/2012
BSN0036065,BANK2P2,4000.00,8/12/2013
BSN0566485,BANK2P2,47.18,7/1/2013
BSN0567760,BANK2P2,198.97,12/2/2013
BSN0565867,BANK2P2,350.00,7/18/2013
BSN0566415,BANK2P2,345.21,7/26/2012
BSN0566430,BANK2P2,100.00,12/10/2012
BSN0566257,BANK2P2,802.45,7/29/2013
BSN0571119,BANK2P2,250.00,12/24/2013
BSN0039316,BANK2P2,81.37,12/26/2012
BSN0318811,BANK2P2,33.36,6/11/2013
BSN0566403,BANK2P2,0.01,3/22/2013
BSN0567175,BANK2P2,274.99,5/20/2013
BSN0566920,BANK2P2,150.00,2/17/2014
BSN0566020,BANK2P2,395.16,8/2/2013
BSN0485653,BANK2P2,110.81,8/17/2012
BSN0574365,BANK2P2,100.00,6/27/2013
BSN0572857,BANK2P2,550.00,7/23/2012
BSN0570509,BANK2P2,141.10,12/24/2012
BSN0568133,BANK2P2,91.42,5/17/2013
BSN0568368,BANK2P2,495.72,9/25/2013
BSN0566633,BANK2P2,300.00,1/27/2014
BSN0565883,BANK2P2,282.20,10/31/2012
BSN0565550,BANK2P2,46.94,8/29/2013
BSN0567836,BANK2P2,14.25,6/13/2013
BSN0580300,BANK2P2,100.00,2/19/2013
BSN0570374,BANK2P2,182.30,3/11/2013
BSN0578924,BANK2P2,300.00,12/17/2012
BSN0568941,BANK2P2,644.00,9/30/2013
BSN0572272,BANK2P2,100.00,7/30/2013
BSN0581391,BANK2P2,44.17,1/25/2013
BSN0571820,BANK2P2,277.75,5/28/2013
BSN0565738,BANK2P2,45.67,2/4/2014
BSN0548515,BANK2P2,14.26,11/22/2012
BSN0567107,BANK2P2,671.00,6/13/2012
BSN0570522,BANK2P2,198.63,2/10/2014
BSN0571625,BANK2P2,500.00,11/18/2013
BSN0568292,BANK2P2,462.04,5/24/2013
BSN0582771,BANK2P2,350.00,8/15/2012
BSN0567906,BANK2P2,34.78,1/25/2013
BSN0578009,BANK2P2,650.00,10/7/2013
BSN0567723,BANK2P2,77.02,10/31/2013
BSN0572790,BANK2P2,200.00,2/4/2013
BSN0565642,BANK2P2,25.96,5/17/2013
BSN0566365,BANK2P2,99.84,6/20/2013
BSN0566140,BANK2P2,282.20,12/26/2012
BSN0579432,BANK2P2,150.00,1/17/2013
BSN0573050,BANK2P2,39.41,8/29/2013
BSN0543259,BANK2P2,10.02,8/16/2013
BSN0565411,BANK2P2,38.99,6/21/2013
BSN0567901,BANK2P2,672.63,10/17/2012
BSN0575320,BANK2P2,250.00,7/25/2013
BSN0570950,BANK2P2,85.25,11/13/2012
BSN0569801,BANK2P2,2000.00,3/5/2013
BSN0567820,BANK2P2,499.71,10/31/2012
BSN0009234,BANK2P2,586.90,9/18/2012
BSN0566895,BANK2P2,179.92,2/19/2014
BSN0473980,BANK2P2,972.43,12/14/2012
BSN0567774,BANK2P2,224.52,2/25/2013
BSN0572676,BANK2P2,72.18,10/23/2012
BSN0572188,BANK2P2,250.00,10/11/2013
BSN0566644,BANK2P2,206.90,6/13/2012
BSN0576364,BANK2P2,650.00,7/11/2013
BSN0568510,BANK2P2,200.00,8/29/2013
BSN0294064,BANK2P2,9.14,10/10/2013
BSN0565616,BANK2P2,417.26,9/25/2012
BSN0566722,BANK2P2,81.05,8/29/2012
BSN0309954,BANK2P2,117.82,4/30/2013
BSN0574113,BANK2P2,300.00,9/3/2012
BSN0566362,BANK2P2,248.22,8/6/2013
BSN0567501,BANK2P2,49.82,1/21/2014
BSN0583028,BANK2P2,194.00,8/15/2012
BSN0566453,BANK2P2,230.21,4/22/2013
BSN0565755,BANK2P2,1148.00,11/20/2012
BSN0574004,BANK2P2,250.00,3/5/2013
BSN0565539,BANK2P2,82.39,10/28/2013
BSN0566473,BANK2P2,38.73,8/29/2012
BSN0566375,BANK2P2,3000.00,1/25/2013
BSN0573845,BANK2P2,166.09,11/13/2013
BSN0326103,BANK2P2,94.95,8/29/2013
BSN0263125,BANK2P2,55.51,9/23/2013
BSN0578770,BANK2P2,100.00,9/26/2012
BSN0580093,BANK2P2,30.90,10/11/2013
BSN0565654,BANK2P2,161.55,8/22/2013
BSN0303800,BANK2P2,92.34,11/20/2012
BSN0566475,BANK2P2,276.69,8/7/2013
BSN0498072,BANK2P2,370.60,11/28/2012
BSN0580978,BANK2P2,200.00,10/17/2012
BSN0566908,BANK2P2,500.00,11/30/2012
BSN0255062,BANK2P2,66.77,7/6/2012
BSN0566232,BANK2P2,149.28,4/25/2013
BSN0568223,BANK2P2,180.93,1/27/2014
BSN0568528,BANK2P2,59.73,1/29/2014
BSN0565411,BANK2P2,585.28,12/27/2012
BSN0545011,BANK2P2,133.56,6/21/2013
BSN0572496,BANK2P2,250.00,3/4/2013
BSN0478146,BANK2P2,600.00,11/29/2013
BSN0569231,BANK2P2,381.76,6/13/2012
BSN0568363,BANK2P2,220.00,11/27/2013
BSN0581294,BANK2P2,128.53,11/30/2012
BSN0567735,BANK2P2,200.00,2/1/2013
BSN0567377,BANK2P2,131.38,4/4/2013
BSN0565451,BANK2P2,103.74,8/16/2012
BSN0566323,BANK2P2,250.00,8/29/2012
BSN0567836,BANK2P2,105.22,3/11/2013
BSN0566749,BANK2P2,54.36,6/13/2012
BSN0565306,BANK2P2,150.00,9/17/2013
BSN0403483,BANK2P2,256.28,9/19/2012
BSN0566194,BANK2P2,375.84,6/24/2013
BSN0569415,BANK2P2,200.00,6/17/2013
BSN0407442,BANK2P2,330.86,12/6/2013
BSN0566684,BANK2P2,150.00,3/1/2013
BSN0574564,BANK2P2,5541.52,8/29/2012
BSN0565935,BANK2P2,729.53,1/30/2013
BSN0567709,BANK2P2,0.99,7/16/2013
BSN0567928,BANK2P2,1232.83,9/18/2013
BSN0565797,BANK2P2,500.00,1/27/2014
BSN0573404,BANK2P2,300.00,12/28/2012
BSN0572263,BANK2P2,13.07,4/30/2013
BSN0568838,BANK2P2,45.44,8/6/2013
BSN0567442,BANK2P2,560.00,2/12/2013
BSN0573332,BANK2P2,17.62,12/9/2013
BSN0088156,BANK2P2,423.40,11/13/2012
BSN0572730,BANK2P2,305.50,8/19/2013
BSN0567818,BANK2P2,108.52,2/15/2013
BSN0400853,BANK2P2,6996.67,3/26/2013
BSN0140429,BANK2P2,47.00,3/27/2013
BSN0574272,BANK2P2,200.00,9/30/2013
BSN0567592,BANK2P2,230.83,5/24/2013
BSN0565424,BANK2P2,207.77,2/19/2013
BSN0343688,BANK2P2,618.90,7/6/2012
BSN0571249,BANK2P2,250.00,4/15/2013
BSN0565491,BANK2P2,600.20,9/4/2013
BSN0565588,BANK2P2,14.93,2/11/2014
BSN0301181,BANK2P2,34.06,12/19/2012
BSN0580302,BANK2P2,221.80,1/23/2014
BSN0576593,BANK2P2,140.00,10/22/2012
BSN0580278,BANK2P2,450.00,6/20/2013
BSN0580681,BANK2P2,350.00,11/18/2013
BSN0568723,BANK2P2,100.00,6/13/2012
BSN0576814,BANK2P2,2000.00,1/31/2014
BSN0567204,BANK2P2,111.94,5/27/2013
BSN0569089,BANK2P2,154.72,9/5/2012
BSN0516849,BANK2P2,140.17,9/2/2013
BSN0568238,BANK2P2,35.12,11/18/2013
BSN0573902,BANK2P2,400.00,9/24/2013
BSN0581785,BANK2P2,20.00,6/24/2013
BSN0583126,BANK2P2,400.00,9/26/2012
BSN0565473,BANK2P2,12250.00,8/21/2013
BSN0574397,BANK2P2,60.00,7/1/2013
BSN0567609,BANK2P2,175.26,3/22/2013
BSN0569182,BANK2P2,748.30,6/13/2012
BSN0569057,BANK2P2,400.00,8/16/2013
BSN0570678,BANK2P2,300.00,7/25/2013
BSN0263125,BANK2P2,12.17,4/29/2013
BSN0579065,BANK2P2,146.61,12/17/2012
BSN0565555,BANK2P2,500.00,1/21/2014
BSN0580115,BANK2P2,187.50,6/13/2013
BSN0573291,BANK2P2,400.00,8/28/2012
BSN0288289,BANK2P2,32.05,12/31/2012
BSN0574079,BANK2P2,250.00,9/26/2013
BSN0400726,BANK2P2,489.99,9/24/2012
BSN0567839,BANK2P2,19.10,6/27/2013
BSN0565935,BANK2P2,198.60,6/5/2013
BSN0565400,BANK2P2,240.98,1/24/2013
BSN0567924,BANK2P2,448.60,12/27/2013
BSN0583280,BANK2P2,500.00,7/30/2012
BSN0574581,BANK2P2,250.00,9/21/2012
BSN0566257,BANK2P2,136.53,5/21/2013
BSN0567283,BANK2P2,28.11,9/25/2013
BSN0566451,BANK2P2,136.57,7/17/2013
BSN0219515,BANK2P2,6000.00,6/21/2013
BSN0568466,BANK2P2,1764.00,12/24/2012
BSN0566940,BANK2P2,150.00,2/4/2014
BSN0569522,BANK2P2,239.51,4/22/2013
BSN0568509,BANK2P2,3822.00,10/23/2012
BSN0139201,BANK2P2,656.74,12/21/2012
BSN0568182,BANK2P2,235.10,6/13/2012
BSN0565905,BANK2P2,1205.26,2/27/2013
BSN0573867,BANK2P2,161.88,12/5/2012
BSN0572586,BANK2P2,1100.00,10/16/2012
BSN0572922,BANK2P2,300.00,11/1/2012
BSN0574251,BANK2P2,500.00,3/8/2013
BSN0565381,BANK2P2,186.90,6/4/2013
BSN0566657,BANK2P2,241.94,9/20/2013
BSN0529038,BANK2P2,415.33,10/30/2013
BSN0121160,BANK2P2,9083.90,2/20/2014
BSN0567409,BANK2P2,153.78,7/26/2013
BSN0567693,BANK2P2,94.10,6/13/2012
BSN0565806,BANK2P2,168.53,12/20/2013
BSN0570161,BANK2P2,67.67,7/16/2013
BSN0566478,BANK2P2,1000.00,6/13/2012
BSN0545140,BANK2P2,1405.00,11/4/2013
BSN0572880,BANK2P2,158.01,11/14/2012
BSN0565499,BANK2P2,45.89,12/26/2013
BSN0557270,BANK2P2,16.21,10/2/2013
BSN0290665,BANK2P2,25.95,9/19/2013
BSN0502354,BANK2P2,415.33,12/19/2013
BSN0570846,BANK2P2,267.93,10/31/2013
BSN0567935,BANK2P2,24.76,9/24/2012
BSN0566753,BANK2P2,14.75,12/19/2013
BSN0583230,BANK2P2,250.00,2/15/2013
BSN0573610,BANK2P2,469.95,9/28/2012
BSN0551352,BANK2P2,41.81,8/26/2013
BSN0557797,BANK2P2,268.93,2/22/2013
